,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month
0,0,0,0,0,0,0,3,1,2,3,1,0,0,0,0,2.0,0
1,0,0,1,1,0,0,2,0,1,2,1,0,0,1,1,3.0,0
2,1,1,1,0,1,4,3,1,1,6,1,0,1,0,2,2.0,1
3,0,0,1,0,0,0,2,1,1,4,1,0,1,0,3,2.0,2
4,0,1,1,0,0,2,3,1,1,4,1,0,0,0,2,2.0,1
5,0,0,1,2,1,4,2,1,1,3,1,0,0,1,4,4.0,1
6,0,0,0,0,1,4,2,2,1,5,1,0,0,1,5,1.0,2
7,1,0,1,0,1,0,2,1,1,4,1,0,0,1,6,2.0,3
8,1,1,1,1,0,0,3,1,1,4,1,0,0,1,0,3.0,2
9,0,0,1,0,0,4,2,1,1,4,1,0,0,0,7,2.0,0
10,0,0,1,0,0,4,2,2,1,6,1,1,1,1,1,1.0,2
11,1,1,1,1,0,0,3,1,1,2,1,0,0,0,2,3.0,3
12,0,1,1,1,0,0,2,1,1,2,1,0,0,0,8,3.0,3
13,0,0,0,0,0,4,3,1,1,1,1,0,1,0,3,2.0,2
14,0,0,1,0,0,1,2,3,1,8,0,0,1,0,0,1.0,2
15,1,1,1,2,0,4,2,1,5,2,1,0,1,0,6,4.0,3
16,1,0,1,0,0,4,2,1,1,6,1,0,1,0,1,2.0,0
17,1,0,0,0,1,0,2,0,5,0,1,0,0,1,3,2.0,0
18,0,0,1,0,0,1,2,1,1,8,0,0,0,0,0,2.0,2
19,0,0,1,0,0,4,2,1,1,3,1,0,0,0,0,2.0,0
20,1,0,0,0,0,4,2,1,1,6,1,0,1,0,0,2.0,2
21,0,0,0,0,0,1,2,1,1,7,0,0,1,0,0,2.0,0
22,0,0,0,0,0,0,2,0,1,4,1,0,0,0,1,2.0,1
23,1,1,0,0,0,4,2,1,2,3,1,1,1,1,0,2.0,1
24,0,0,0,0,0,1,2,3,1,8,0,0,1,0,0,1.0,0
25,0,0,1,1,0,0,2,1,1,3,1,0,0,0,9,3.0,0
26,1,1,0,1,0,4,3,1,1,5,1,1,0,0,1,3.0,0
27,1,1,1,0,1,2,2,1,1,5,1,0,0,0,0,2.0,3
28,1,1,0,0,0,0,2,1,5,8,1,1,1,0,6,2.0,3
29,0,0,1,0,0,0,2,1,0,2,1,0,1,0,3,2.0,1
30,1,1,0,0,0,0,2,1,1,3,1,0,0,0,2,2.0,2
31,1,1,1,0,0,0,3,1,1,2,1,1,0,1,1,2.0,1
32,0,0,1,0,0,4,3,1,1,3,1,0,0,0,1,2.0,0
33,1,0,1,0,0,4,2,1,1,6,1,0,1,0,4,2.0,1
34,1,1,1,1,1,4,2,1,1,3,1,0,1,0,1,3.0,1
35,0,1,0,0,0,4,3,0,1,3,1,0,0,0,2,2.0,1
36,0,1,0,0,0,4,3,3,1,7,1,1,1,0,8,1.0,0
37,1,1,1,0,2,0,2,1,5,5,1,0,0,0,6,2.0,0
38,0,0,1,0,0,4,2,1,1,3,1,0,0,0,3,2.0,2
39,1,1,1,2,0,4,2,1,1,3,1,0,0,0,1,4.0,2
40,1,1,1,0,0,4,2,1,1,8,1,0,0,0,1,2.0,1
41,0,0,1,2,0,0,3,1,1,2,1,0,1,0,8,4.0,1
42,1,0,0,1,1,4,2,1,1,1,1,1,0,0,2,3.0,2
43,0,0,0,0,0,4,2,1,1,1,1,0,0,0,3,2.0,0
44,1,0,0,0,0,4,3,0,1,4,1,0,0,0,6,2.0,1
45,1,1,0,0,1,4,3,1,1,6,1,1,1,0,4,2.0,0
46,0,0,0,0,0,1,2,4,1,7,0,0,1,0,0,1.0,1
47,0,1,1,0,1,0,3,1,1,6,1,0,0,0,3,2.0,3
48,0,0,1,0,0,1,2,1,1,9,0,0,0,0,0,2.0,0
